Alocacao, TempoMyMalloc, TempoMalloc
3072,0.000015,0.000003
4096,0.000029,0.000004
5120,0.000018,0.000002
6144,0.000012,0.000002
7168,0.000012,0.000002
8192,0.000016,0.000003
9216,0.000014,0.000002
10240,0.000013,0.000002
11264,0.000016,0.000003
12288,0.000013,0.000002
13312,0.000013,0.000002
14336,0.000015,0.000002
15360,0.000013,0.000003
16384,0.000013,0.000002
17408,0.000014,0.000002
18432,0.000012,0.000002
19456,0.000011,0.000003
20480,0.000015,0.000002
21504,0.000011,0.000002
22528,0.000014,0.000013
23552,0.000018,0.000006
24576,0.000015,0.000012
25600,0.000012,0.000014
26624,0.000017,0.000008
27648,0.000015,0.000017
28672,0.000014,0.000015
29696,0.000017,0.000015
30720,0.000015,0.000016
31744,0.000013,0.000019
32768,0.000019,0.000011
33792,0.000016,0.000016
34816,0.000016,0.000018
35840,0.000017,0.000013
36864,0.000025,0.000016
37888,0.000015,0.000022
38912,0.000018,0.000014
39936,0.000016,0.000015
40960,0.000017,0.000017
41984,0.000020,0.000012
43008,0.000016,0.000018
44032,0.000015,0.000015
45056,0.000018,0.000012
46080,0.000016,0.000017
47104,0.000017,0.000018
48128,0.000017,0.000011
49152,0.000017,0.000018
50176,0.000016,0.000019
51200,0.000016,0.000010
52224,0.000014,0.000018
53248,0.000015,0.000019
54272,0.000016,0.000011
55296,0.000017,0.000019
56320,0.000016,0.000018
57344,0.000020,0.000010
58368,0.000017,0.000019
59392,0.000015,0.000023
60416,0.000017,0.000012
61440,0.000016,0.000022
62464,0.000015,0.000018
63488,0.000019,0.000012
64512,0.000016,0.000019
65536,0.000020,0.000017
66560,0.000018,0.000012
67584,0.000014,0.000020
68608,0.000014,0.000018
69632,0.000017,0.000012
70656,0.000014,0.000019
71680,0.000017,0.000019
72704,0.000016,0.000012
73728,0.000015,0.000018
74752,0.000015,0.000018
75776,0.000015,0.000016
76800,0.000018,0.000018
77824,0.000015,0.000017
78848,0.000016,0.000009
79872,0.000013,0.000016
80896,0.000014,0.000016
81920,0.000015,0.000010
82944,0.000013,0.000016
83968,0.000015,0.000025
84992,0.000016,0.000012
86016,0.000015,0.000017
87040,0.000014,0.000015
88064,0.000015,0.000010
89088,0.000015,0.000016
90112,0.000014,0.000016
91136,0.000016,0.000009
92160,0.000011,0.000018
93184,0.000013,0.000013
94208,0.000014,0.000010
95232,0.000014,0.000018
96256,0.000014,0.000020
97280,0.000014,0.000009
98304,0.000012,0.000014
99328,0.000015,0.000016
100352,0.000026,0.000011
101376,0.000014,0.000027
102400,0.000015,0.000027
103424,0.000019,0.000013
104448,0.000013,0.000025
105472,0.000016,0.000020
106496,0.000018,0.000013
107520,0.000014,0.000022
108544,0.000016,0.000019
109568,0.000019,0.000037
110592,0.000015,0.000022
111616,0.000016,0.000018
112640,0.000018,0.000020
113664,0.000018,0.000023
114688,0.000015,0.000023
115712,0.000017,0.000012
116736,0.000015,0.000020
117760,0.000015,0.000018
118784,0.000020,0.000014
119808,0.000014,0.000018
120832,0.000016,0.000021
121856,0.000016,0.000018
122880,0.000021,0.000027
123904,0.000016,0.000017
124928,0.000016,0.000019
125952,0.000018,0.000019
126976,0.000016,0.000021
128000,0.000016,0.000012
129024,0.000018,0.000023
130048,0.000017,0.000018
131072,0.000018,0.000014
132096,0.000018,0.000020
133120,0.000017,0.000019
134144,0.000017,0.000014
135168,0.000017,0.000023
136192,0.000017,0.000018
137216,0.000024,0.000015
138240,0.000016,0.000020
139264,0.000018,0.000022
140288,0.000018,0.000014
141312,0.000019,0.000021
142336,0.000017,0.000018
143360,0.000017,0.000015
144384,0.000022,0.000019
145408,0.000015,0.000023
146432,0.000017,0.000013
147456,0.000018,0.000020
148480,0.000018,0.000021
149504,0.000017,0.000024
150528,0.000017,0.000020
151552,0.000022,0.000021
152576,0.000017,0.000014
153600,0.000016,0.000022
154624,0.000017,0.000024
155648,0.000018,0.000015
156672,0.000018,0.000022
157696,0.000019,0.000023
158720,0.000024,0.000015
159744,0.000017,0.000022
160768,0.000021,0.000023
161792,0.000019,0.000013
162816,0.000017,0.000021
163840,0.000020,0.000024
164864,0.000018,0.000014
165888,0.000024,0.000023
166912,0.000018,0.000021
167936,0.000020,0.000015
168960,0.000018,0.000022
169984,0.000018,0.000022
171008,0.000019,0.000016
172032,0.000020,0.000022
173056,0.000023,0.000022
174080,0.000029,0.000016
175104,0.000018,0.000020
176128,0.000017,0.000023
177152,0.000021,0.000015
178176,0.000017,0.000022
179200,0.000021,0.000021
180224,0.000026,0.000015
181248,0.000018,0.000022
182272,0.000019,0.000029
183296,0.000019,0.000014
184320,0.000016,0.000023
185344,0.000017,0.000020
186368,0.000019,0.000016
187392,0.000025,0.000022
188416,0.000017,0.000024
189440,0.000018,0.000015
190464,0.000018,0.000024
191488,0.000017,0.000021
192512,0.000020,0.000015
193536,0.000018,0.000021
194560,0.000021,0.000021
195584,0.000020,0.000013
196608,0.000017,0.000023
197632,0.000018,0.000020
198656,0.000028,0.000016
199680,0.000017,0.000026
200704,0.000018,0.000023
201728,0.000023,0.000016
202752,0.000017,0.000022
203776,0.000038,0.000020
204800,0.000019,0.000013
205824,0.000016,0.000019
206848,0.000018,0.000023
207872,0.000017,0.000013
208896,0.000015,0.000022
209920,0.000020,0.000019
210944,0.000017,0.000014
211968,0.000017,0.000018
212992,0.000019,0.000023
214016,0.000018,0.000012
215040,0.000014,0.000018
216064,0.000014,0.000021
217088,0.000016,0.000013
218112,0.000015,0.000017
219136,0.000014,0.000019
220160,0.000016,0.000011
221184,0.000016,0.000019
222208,0.000014,0.000018
223232,0.000020,0.000014
224256,0.000021,0.000028
225280,0.000018,0.000022
226304,0.000019,0.000014
227328,0.000017,0.000022
228352,0.000016,0.000017
229376,0.000020,0.000012
230400,0.000012,0.000016
231424,0.000019,0.000019
232448,0.000016,0.000012
233472,0.000015,0.000018
234496,0.000014,0.000017
235520,0.000016,0.000012
236544,0.000015,0.000017
237568,0.000014,0.000022
238592,0.000015,0.000011
239616,0.000014,0.000018
240640,0.000013,0.000017
241664,0.000015,0.000012
242688,0.000015,0.000017
243712,0.000014,0.000019
244736,0.000016,0.000011
245760,0.000020,0.000022
246784,0.000015,0.000019
247808,0.000016,0.000012
248832,0.000017,0.000019
249856,0.000020,0.000019
250880,0.000016,0.000016
251904,0.000020,0.000022
252928,0.000022,0.000023
253952,0.000016,0.000013
254976,0.000015,0.000018
256000,0.000016,0.000020
257024,0.000014,0.000021
258048,0.000013,0.000046
259072,0.000012,0.000025
260096,0.000017,0.000019
261120,0.000014,0.000024
262144,0.000014,0.000044
263168,0.000015,0.000019
264192,0.000014,0.000029
265216,0.000012,0.000034
266240,0.000014,0.000020
267264,0.000014,0.000026
268288,0.000018,0.000027
269312,0.000015,0.000020
270336,0.000012,0.000025
271360,0.000012,0.000026
272384,0.000015,0.000020
273408,0.000013,0.000032
274432,0.000012,0.000025
275456,0.000015,0.000020
276480,0.000017,0.000028
277504,0.000013,0.000035
278528,0.000015,0.000022
279552,0.000014,0.000027
280576,0.000013,0.000025
281600,0.000014,0.000020
282624,0.000017,0.000029
283648,0.000011,0.000030
284672,0.000014,0.000020
285696,0.000013,0.000026
286720,0.000016,0.000031
287744,0.000014,0.000021
288768,0.000013,0.000026
289792,0.000013,0.000042
290816,0.000014,0.000021
